"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","银行卡管理","0","","2","0","获取银行卡列表","0"
"0","实名认证","1","","0","0","提交实名认证","0"
"0","银行卡管理","0","","3","0","更新银行卡信息","0"
"0","用户认证","1","","4","0","登录认证","0"
"0","实名认证","0","","4","0","修改用户头像","0"
"0","借款产品","0","","4","0","获取产品列表","0"
"0","银行卡管理","0","","1","0","添加银行卡","0"
"0","用户认证","0","","1","0","用户退出","0"
"0","实名认证","0","","1","0","获取实名认证信息","0"
"0","用户资料","0","","2","0","更新用户资料","0"
"0","用户资料","0","","2","0","获取用户资料","0"
"0","借款申请","0","","3","0","提交借款申请","0"
"0","银行卡管理","0","","1","0","删除银行卡","0"
"0","用户认证","0","","2","0","查询用户信息","0"
"0","实名认证","0","","1","0","获取用户头像","0"
"0","借款产品","0","","1","0","获取指定产品","0"
