"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","查询信息","scripts","2026-07-26","failed","2026-07-26","","test_user_info","",""
"","357","登录认证","scripts","2026-07-26","passed","2026-07-26","","test_login","",""
"","435","登录认证","scripts","2026-07-26","passed","2026-07-26","","test_login","",""
"","387","查询信息","scripts","2026-07-26","passed","2026-07-26","","test_user_info","",""
"","11","注册检测","scripts","2026-07-26","failed","2026-07-26","","test_signup","",""
"","400","登录认证","scripts","2026-07-26","failed","2026-07-26","","test_login","",""
"","387","登录认证","scripts","2026-07-26","passed","2026-07-26","","test_login","",""
"","15","注册检测","scripts","2026-07-26","failed","2026-07-26","","test_signup","",""
"","19","登录认证","scripts","2026-07-26","passed","2026-07-26","","test_login","",""
"","70","注册检测","scripts","2026-07-26","failed","2026-07-26","","test_signup","",""
"","432","登录退出","scripts","2026-07-26","failed","2026-07-26","","test_logout","",""
